name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,fixed_effect_type,feature_dimension,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,epochs_trained,model.params.dropout
npboost-in_context-steps_2D-seed0,17h9ross,2026-07-20T11:35:26Z,npboost,in_context,0,rmse,0.5366539388020833,0.9485299215175677,0.53538515625,0.9457408067757846,1383.4037659168243,2.7300729751586914,2.6897528171539307,1.3808790590739384,steps,2,143.0,,,,,,,0.0,0.0001656260589333,5.0,0.655438234354628,0.0,20.0,4.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,1xto6nad,2026-07-21T01:31:47Z,npboost,in_context,0,rmse,0.534728125,0.9468657092396768,0.5315138997395833,0.9418324572406817,5624.980708360672,2.421030044555664,2.375542640686035,1.585909726883907,steps,2,255.0,,,,,,,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,4cy6b4s6,2026-07-20T13:58:34Z,npboost,in_context,0,rmse,0.583525,1.034349541090611,0.5863961588541666,1.0396158089294916,1597.7498195171356,2.7453930377960205,2.5234298706054688,4.876251891426375,steps,2,164.0,,,,,,,0.2,0.0001251605833757,5.0,0.2656797431288616,1.0,100.0,4.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,4xqifrjx,2026-07-21T03:05:54Z,npboost,in_context,0,rmse,0.5656798177083333,1.001291251828551,0.5639698567708333,0.9981924887978578,909.0852830410004,2.725569486618042,2.694420337677002,1.5450938690542468,steps,2,82.0,,,,,,,0.0,0.0008887704677237,5.0,0.0415963508411869,0.0,1000.0,4.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,8no3sy3j,2026-07-20T15:27:19Z,npboost,in_context,0,rmse,0.5539194010416667,0.9757162555705314,0.54935703125,0.9681296906048406,1597.4252214431765,2.465507984161377,2.4700927734375,1.5340829839708172,steps,2,54.0,,,,,,,0.0,0.0001380773171791,20.0,0.0190619809185539,1.0,10.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,8rv981zv,2026-07-20T19:10:06Z,npboost,in_context,0,rmse,0.5472701822916667,0.969140363416868,0.5488881510416667,0.9732020272073968,2769.82608127594,2.560002326965332,2.7026374340057373,1.499401275085837,steps,2,323.0,,,,,,,0.0,1.3840044764106206e-05,5.0,0.7593823221110972,0.0,1000.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,91twr3td,2026-07-20T06:52:27Z,npboost,in_context,0,rmse,0.5499222005208333,0.9740408402146604,0.5428119791666667,0.9629082953346494,3060.529094219208,2.38130521774292,2.365507841110229,1.8389484091236687,steps,2,264.0,,,,,,,0.2,7.309539835912905e-05,10.0,0.0383962929980417,1.0,10.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,bs2llk2b,2026-07-20T11:22:30Z,npboost,in_context,0,rmse,0.5962296875,1.0553890954400276,0.5972424479166667,1.05781638655097,752.6445875167847,2.180291652679444,2.3067381381988525,1.703481175243815,steps,2,11.0,,,,,,,0.2,6.83631406502272e-05,20.0,0.768810680147495,1.0,100.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,bz8vj5hw,2026-07-20T21:12:10Z,npboost,in_context,0,rmse,0.5405591145833334,0.955492867159563,0.537055859375,0.9498665861787884,5689.36051940918,2.44179916381836,2.376657247543335,2.016980957744529,steps,2,262.0,,,,,,,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,bzy4sjcd,2026-07-20T11:00:05Z,npboost,in_context,0,rmse,0.5547529947916666,0.9743817275963298,0.5526416015625,0.9736810298894424,1321.9337377548218,2.346209526062012,2.682097911834717,1.4105939517994746,steps,2,134.0,,,,,,,0.0,0.0001848449172098,5.0,0.6097025297491431,1.0,10.0,16.0,255.0,-1.0,,
npboost-in_context-steps_2D-seed0,c85fg04x,2026-07-20T06:26:34Z,npboost,in_context,0,rmse,0.5427460286458333,0.961975565004302,0.5404709635416667,0.959647199149288,1535.3497710227966,1.0081751346588137,1.0065016746520996,1.5762958484360063,steps,2,306.0,,,,,,,0.2,0.0002910635913133,5.0,0.0130667392380532,0.0,100.0,4.0,255.0,-1.0,,
