fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,2,in_context,0,1.1221115497828906,5qxtm8rx,1.128757695432516,0.6368177716311993
steps,2,in_context,1,1.116409488735578,ta8aycry,1.1242393620401876,0.63522913505477
steps,2,in_context,2,1.1145966358825776,dqc2hal8,1.1248930329826925,0.6341083100659276
steps,2,in_context,3,1.1300106510385244,iagiyh97,1.1352352785516575,0.6406824666015469
steps,2,in_context,4,1.1204593645875482,9ocg15qc,1.1084651973047834,0.6242371887812813
steps,2,few_shot,0,1.1467487488442518,jrlt0s2p,1.1237270357664182,0.6342979429092511
steps,2,few_shot,1,1.1172436343907135,x35uskxt,1.1009865379128665,0.6201341828326594
steps,2,few_shot,2,1.100838988770335,z7xic971,1.147501843635964,0.6463392579369315
steps,2,few_shot,3,1.1221699047558336,43otlugc,1.1081104981813654,0.6245370421091502
steps,2,few_shot,4,1.118959511884872,ayjd9omy,1.119464315636293,0.6292129754175114
