fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,2,in_context,0,1.2654250300950298,n8octpa4,1.265159415778634,0.7099032606389131
steps,2,in_context,1,1.2468005167518676,fo6flmv4,1.2547649863385235,0.7061452535227889
steps,2,in_context,2,1.2356669954852162,9gjs8ek6,1.2575073615900716,0.7081670684008394
steps,2,in_context,3,1.2639710380323173,b7yz1swt,1.2666903465545791,0.7119798163100298
steps,2,in_context,4,1.2556565306790757,ytcy6e2z,1.251997941389961,0.7034967860301532
steps,2,few_shot,0,1.5703892677427305,9yfch86o,1.5067590707059393,0.8782895400868765
steps,2,few_shot,1,1.5056516437559209,vuboj199,1.5244158097770406,0.8974502001650497
steps,2,few_shot,2,1.556025950307475,chz2dx4x,1.526817929453988,0.8954385195015645
steps,2,few_shot,3,1.549922061078223,3fcwxe7q,1.511836424310268,0.884637309214155
steps,2,few_shot,4,1.556111754772546,sfd1kd5p,1.517961587294138,0.8915787805666339
