fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
steps,1,in_context,0,0.6210972344242516,3a29aeld,0.6230133564996795,0.350394524468316,189.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
steps,1,in_context,1,0.630556092165685,fh2xl3n3,0.6304397123630436,0.3549234347873264,98.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,1,in_context,2,0.6153221679008852,nxmugpxt,0.6229065934805973,0.3499408298068576,171.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,1,in_context,3,0.6126579264200168,myxmsro5,0.6208083808137063,0.3499395751953125,199.0,0.2,0.0001024482973264,20.0,0.0600348399921965,1.0,1000.0,8.0,255.0,-1.0
steps,1,in_context,4,0.6210684187203325,bwupo5yl,0.6171001731114588,0.3474851481119791,247.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
steps,1,few_shot,0,0.7475272738923877,mvf9zfwu,0.741272183365778,0.4125445861816406,155.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,1,few_shot,1,0.7669707040383046,csxk3d9o,0.7187215914683845,0.4030667114257812,96.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,1,few_shot,2,0.7696873425482045,xwcrok6t,0.7414485467004704,0.4139393310546875,171.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,1,few_shot,3,0.754828464495171,xdqikb6r,0.7457716410707906,0.416686767578125,91.0,0.0,0.0001380773171791,20.0,0.0190619809185539,1.0,10.0,16.0,255.0,-1.0
steps,1,few_shot,4,0.752958522958442,fg8y80d7,0.7683448692511942,0.4255985717773437,83.0,0.0,0.0008831228248242,10.0,0.3887072196612053,1.0,100.0,8.0,255.0,-1.0
steps,2,in_context,0,0.9600299859267178,0neo0gt8,0.9556960525320652,0.5364404975043403,162.0,0.2,0.0002213282815989,10.0,0.0152199142675109,0.0,100.0,16.0,255.0,-1.0
steps,2,in_context,1,0.9376660743960146,qw3lk496,0.9415079792700836,0.530032212999132,119.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,2,0.9473317674475372,ci5b8e9v,0.9652846768410616,0.5426451958550347,113.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,in_context,3,0.9480481549176905,eiod5c7r,0.9474690172745484,0.5342600504557292,125.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,2,in_context,4,0.9504826268892588,1psrclv0,0.9605941551175716,0.5402584499782986,223.0,0.2,8.111144333995501e-05,20.0,0.0123280038313677,1.0,10.0,8.0,255.0,-1.0
steps,2,few_shot,0,1.02318372105813,f76t0div,1.0243826187556997,0.5757815551757812,73.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,2,few_shot,1,1.0170503027724656,94964fks,1.014524315864683,0.5715445556640625,200.0,0.2,0.0002213282815989,10.0,0.0152199142675109,0.0,100.0,16.0,255.0,-1.0
steps,2,few_shot,2,1.042225975696421,8giniqfw,1.0194084328548378,0.572107666015625,154.0,0.2,0.0001849521658972,20.0,0.0438086761972578,0.0,20.0,8.0,255.0,-1.0
steps,2,few_shot,3,1.0402770233831755,s5y8sgrv,1.024499369811505,0.5788080444335938,76.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,2,few_shot,4,1.0247322754570942,eue0rbjb,1.0399309519901048,0.5873140869140625,183.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
