model_name,fixed_effect_type,feature_dimension,task_name,test_rmse_mean,test_rmse_std,test_rmse_n,test_crps_mean,test_crps_std,test_crps_n,test_rmse_se,test_crps_se
npboost,steps,1,in_context,0.628103990780916,0.005658857608343423,5,0.3534652845594618,0.0035248253951274088,5,0.002530718057449555,0.0015763498384644883
npboost,steps,1,few_shot,0.7674093183676766,0.01755661144856833,5,0.4274417663574218,0.007852055325550352,5,0.007851555330709968,0.0035115458942039657
npboost,steps,2,in_context,0.9737757889751923,0.006830738882510229,5,0.5487841457790799,0.003708901504284104,5,0.0030547992955687643,0.0016586711770860969
npboost,steps,2,few_shot,1.0425580515683324,0.008552228411556779,5,0.5882503051757813,0.005306358588069988,5,0.0038246728174692007,0.0023730757031828597
anpboost,steps,1,in_context,0.6228536432536971,0.004869863286205201,5,0.35053670247395835,0.00270588452362861,5,0.0021778690698170686,0.0012101083468196415
anpboost,steps,1,few_shot,0.7431117663713236,0.0176409708595273,5,0.41436719360351565,0.008104476243587304,5,0.007889282006199186,0.003624431960538671
anpboost,steps,2,in_context,0.9541103762070661,0.00964814502967657,5,0.5367272813585069,0.004961962249275768,5,0.004314781628626707,0.0022190569782336747
anpboost,steps,2,few_shot,1.0245491378553662,0.009533550170211062,5,0.577111181640625,0.006418119258503083,5,0.004263533249499325,0.0028702701899426877
np,steps,1,in_context,0.64566120962134,0.004187191331176981,5,0.3619875284830729,0.0026843261142216247,5,0.0018725688902619126,0.0012004671330354834
np,steps,1,few_shot,0.7726003113808037,0.016758178856680767,5,0.4305187072753906,0.007622857126268453,5,0.007494485420527579,0.0034090453434209916
np,steps,2,in_context,1.0013192066923793,0.01231196803164409,5,0.5644344618055556,0.007244303673648191,5,0.005506079491112093,0.003239751092785761
np,steps,2,few_shot,1.0544631463543888,0.010263971973622948,5,0.5948863403320312,0.006419145300590772,5,0.0045901878104347175,0.002870729049913857
anp,steps,1,in_context,0.6229614829852805,0.004460872661335693,5,0.35072467719184025,0.0022542384709751825,5,0.0019949629019434013,0.0010081260917191388
anp,steps,1,few_shot,0.7492603469901116,0.019043848964158384,5,0.4169484558105469,0.008531234575019007,5,0.00851666816741942,0.0038152840883478056
anp,steps,2,in_context,0.9535821292095245,0.007965036334538102,5,0.5364822862413194,0.004129980028826328,5,0.0035620725374565904,0.0018469832180344418
anp,steps,2,few_shot,1.0236689911984456,0.008128677777701564,5,0.5766869140625001,0.004506018228959193,5,0.003635255215626524,0.0020151526135611933
gbm_group_cat,steps,1,in_context,0.6584810961274667,0.00657658312744577,5,,,0,0.0029411373865293805,
gbm_group_cat,steps,1,few_shot,1.1187060802004225,0.022155716722870176,5,,,0,0.009908337736513315,
gbm_group_cat,steps,2,in_context,1.0319284245021685,0.009847790942457565,5,,,0,0.004404065995108367,
gbm_group_cat,steps,2,few_shot,1.1149155597551481,0.011317632005833085,5,,,0,0.005061398901874015,
gbm_no_group,steps,1,in_context,1.1194201450042693,0.002222571738443186,5,,,0,0.0009939642984057692,
gbm_no_group,steps,1,few_shot,1.118804354051034,0.021626543064864327,5,,,0,0.009671684082272656,
gbm_no_group,steps,2,in_context,1.1198698624574517,0.007169096885512944,5,,,0,0.003206117594657794,
gbm_no_group,steps,2,few_shot,1.1149689135893632,0.011159873107316096,5,,,0,0.004990846977646119,
gplinear,steps,1,in_context,0.7776758383169794,0.0045906006285598554,5,0.42704896135517545,0.0022291927540952932,5,0.00205297901260262,0.0009969253066214095
gplinear,steps,1,few_shot,1.0014161391602616,0.015403645536350444,5,0.5418297019599234,0.008442988974932203,5,0.006888719704118159,0.0037758194562459344
gplinear,steps,2,in_context,1.1154482096751885,0.008033944833332855,5,0.6162248980357637,0.0035311877148210906,5,0.0035928893549630964,0.00157919515433042
gplinear,steps,2,few_shot,1.3048927708603815,0.011634850922930878,5,0.7284374725102667,0.006815056732878378,5,0.005203263514349922,0.0030477860250467353
lme,steps,1,in_context,1.2883144095658308,0.005628541613634298,5,0.7335140099078253,0.002807068479719409,5,0.0025171603324545292,0.0012553591876299176
lme,steps,1,few_shot,1.3192179916034796,0.016802674913658458,5,0.7518099979086145,0.009266225855161793,5,0.007514384662154144,0.004143982181401578
lme,steps,2,in_context,1.4619154877577314,0.0065269744245752105,5,0.8308453479898621,0.003076350343985539,5,0.002918951700150549,0.0013757856983513052
lme,steps,2,few_shot,1.473129546774697,0.01945732626752474,5,0.8375733226517272,0.011581669944206046,5,0.008701580838915514,0.005179480257642183
tabicl_taskwise,steps,1,in_context,0.8331661281829341,0.005285844177457141,5,0.4677426874411367,0.0015482028035596282,5,0.0023639013798531254,0.0006923773423430163
tabicl_taskwise,steps,1,few_shot,1.1209127319492964,0.011577554978203513,5,0.6401739967219958,0.006122183548484362,5,0.0051776399889008305,0.0027379237170283826
tabicl_taskwise,steps,2,in_context,1.3367389446005553,0.006590265021331125,5,0.7638962145870792,0.0023431199968673867,5,0.002947256115487099,0.001047875118486914
tabicl_taskwise,steps,2,few_shot,1.5111831572365333,0.02200135016306313,5,0.8970680486453138,0.014146079456403598,5,0.009839302912277047,0.006326319055926343
tabicl_pooled,steps,1,in_context,1.1164039649838133,0.0028988134393715297,5,0.6296007191337054,0.0014437267036603156,5,0.001296388780904941,0.000645654210063232
tabicl_pooled,steps,1,few_shot,1.1210511389630298,0.022889099455602174,5,0.633426580197199,0.013865675174231028,5,0.010236316465295978,0.006200918448702363
tabicl_pooled,steps,2,in_context,1.1255873756318324,0.007400789982365006,5,0.6345350127720397,0.003465319361389065,5,0.0033097338975535246,0.001549737931162422
tabicl_pooled,steps,2,few_shot,1.1214672836697834,0.010984392704774186,5,0.6325720990886806,0.0072715054764499135,5,0.004912369755885572,0.0032519161088208006
