fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
steps,1,in_context,0,0.6665059748413917,z4f6k4xp,0.6696348477712606,,214.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,1,in_context,1,0.6584600009011433,f62f6oqk,0.6586890966972604,,195.0,0.6321732490144019,0.0,100.0,32.0,1000.0,-1.0
steps,1,in_context,2,0.6503433098756257,342z7hvi,0.6554234930165238,,162.0,0.6321732490144019,0.0,100.0,32.0,1000.0,-1.0
steps,1,in_context,3,0.648575829599499,wc1su0lt,0.6527914976548956,,165.0,0.6321732490144019,0.0,100.0,32.0,1000.0,-1.0
steps,1,in_context,4,0.6588832392502549,n2f4ovsr,0.6558665454973931,,235.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,1,few_shot,0,1.1276206320857296,3omwercz,1.1042175959726963,,8.0,0.2952174928235017,0.0,1000.0,32.0,1000.0,-1.0
steps,1,few_shot,1,1.1428007171066024,yg95k3t1,1.0882067428936877,,92.0,0.7452629792912638,0.0,100.0,4.0,1000.0,-1.0
steps,1,few_shot,2,1.1307024674557502,9r5khgev,1.1271315477614936,,31.0,0.5421814280975649,0.0,20.0,4.0,1000.0,-1.0
steps,1,few_shot,3,1.138850579422277,qjzn2e9i,1.1305070559946837,,9.0,0.8401272991858839,0.0,100.0,32.0,500.0,-1.0
steps,1,few_shot,4,1.1111415652064234,ruy85hgm,1.143467458379551,,95.0,0.0385852699847799,1.0,20.0,32.0,1000.0,-1.0
steps,2,in_context,0,1.0356797216229987,544eg5o6,1.024764530311434,,357.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,1,1.0099236303540229,kck48226,1.0191705044621742,,244.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,in_context,2,1.0275576700778888,hj8lzq2x,1.0437684334954294,,246.0,0.1254449923662644,0.0,20.0,32.0,255.0,-1.0
steps,2,in_context,3,1.0330726898183098,yv8d4m2v,1.0366716237654183,,500.0,0.0160785817337106,0.0,100.0,64.0,500.0,-1.0
steps,2,in_context,4,1.0272204130297489,aappwf8m,1.0352670304763858,,348.0,0.1469982700231391,1.0,10.0,64.0,255.0,-1.0
steps,2,few_shot,0,1.115711160756531,wqy9b1oe,1.1150257714081195,,40.0,0.6321732490144019,0.0,100.0,32.0,1000.0,-1.0
steps,2,few_shot,1,1.1290858603934324,evyvw3xo,1.0976694825657842,,19.0,0.5139503522154862,0.0,20.0,16.0,1000.0,-1.0
steps,2,few_shot,2,1.1398098097484963,s4dllf0p,1.1125821301627397,,10.0,0.2952174928235017,0.0,1000.0,32.0,1000.0,-1.0
steps,2,few_shot,3,1.1405715349116567,bb8gylve,1.1214923416020923,,177.0,0.0385852699847799,1.0,20.0,32.0,1000.0,-1.0
steps,2,few_shot,4,1.1146477676373694,hz04fdpq,1.127808073037005,,14.0,0.6321732490144019,0.0,100.0,32.0,1000.0,-1.0
