fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
steps,1,in_context,0,1.1216518261518995,vlpph7eh,1.119706459641517,,250.0,0.0374181665960717,0.0,20.0,4.0,1000.0,-1.0
steps,1,in_context,1,1.119630868504212,5jh1q8ix,1.1218170232736082,,24.0,0.1723598576082492,0.0,100.0,8.0,500.0,-1.0
steps,1,in_context,2,1.102781353882586,iu7ho2uo,1.1176900583347364,,138.0,0.0374181665960717,0.0,20.0,4.0,1000.0,-1.0
steps,1,in_context,3,1.1270653713617726,eujrpw7v,1.116653952898159,,6.0,0.53236175947515,0.0,1000.0,4.0,500.0,-1.0
steps,1,in_context,4,1.129854742403338,xlheh5qw,1.1212332308733255,,201.0,0.2409214543666476,1.0,1000.0,2.0,1000.0,-1.0
steps,1,few_shot,0,1.135186559352304,lgsqai0w,1.1050406716244494,,5.0,0.5421814280975649,0.0,20.0,4.0,1000.0,-1.0
steps,1,few_shot,1,1.1437984074072556,aekw9qrc,1.0889505338896643,,10.0,0.5421814280975649,0.0,20.0,4.0,1000.0,-1.0
steps,1,few_shot,2,1.131005995105532,7pxna8e7,1.1268458075572452,,138.0,0.2409214543666476,1.0,1000.0,2.0,1000.0,-1.0
steps,1,few_shot,3,1.139652606952556,tptsx4hl,1.129786229939672,,30.0,0.1723598576082492,0.0,100.0,8.0,500.0,-1.0
steps,1,few_shot,4,1.1143074689593753,mhcgbfo8,1.1433985272441392,,41.0,0.7601812767003311,0.0,100.0,2.0,1000.0,-1.0
steps,2,in_context,0,1.129695072064847,cbkv2n9n,1.1226000459387262,,11.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,in_context,1,1.1111876749998006,e5eg6yt5,1.113128634096062,,117.0,0.0364643955898072,0.0,100.0,8.0,500.0,-1.0
steps,2,in_context,2,1.1092214952627548,5hu2hn2o,1.123144432260229,,13.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,in_context,3,1.1200813780351444,ejxua8be,1.1118211013092183,,14.0,0.2832583150532184,0.0,20.0,8.0,1000.0,-1.0
steps,2,in_context,4,1.1220092404698727,3d5rh3er,1.1286550986830226,,141.0,0.0364643955898072,0.0,100.0,8.0,500.0,-1.0
steps,2,few_shot,0,1.1177131811220122,9yjjzfwi,1.1146794127898327,,23.0,0.1723598576082492,0.0,100.0,8.0,500.0,-1.0
steps,2,few_shot,1,1.1285895191946125,x99zoal3,1.0989972074381178,,158.0,0.0364643955898072,0.0,100.0,8.0,500.0,-1.0
steps,2,few_shot,2,1.1404003643287115,wg12tsp4,1.111165745097761,,3.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,2,few_shot,3,1.1406239748840752,nmqgh06k,1.1213106954067895,,4.0,0.7234279845665414,0.0,1000.0,8.0,1000.0,-1.0
steps,2,few_shot,4,1.1150155152284544,hnbu00up,1.128691507214315,,228.0,0.0371262417904053,1.0,1000.0,16.0,255.0,-1.0
