fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,1,in_context,0,0.7842029492249344,is0kf3ab,0.770072233421858,0.423568942296431
steps,1,in_context,1,0.7817484295518248,r4ojuzsf,0.778191345861637,0.4277733396824957
steps,1,in_context,2,0.7639374000872556,obzyaigt,0.782174850040076,0.4290313706611836
steps,1,in_context,3,0.7757222753456248,d5p2nxqv,0.7801151763998142,0.4286629838167151
steps,1,in_context,4,0.7800862542435721,dsfqkbzq,0.7778255858615118,0.4262081703190519
steps,1,few_shot,0,1.0031301596905629,3spgs9q0,1.0120352948732558,0.5467932541612157
steps,1,few_shot,1,1.0142955481548803,ov1pdj1f,0.9773990720909316,0.5292278401114102
steps,1,few_shot,2,1.010940181590284,5vmq48re,1.014900001664518,0.5512271419007937
steps,1,few_shot,3,1.010821401621361,v1xt6gg7,0.9951407899319468,0.5385177170629261
steps,1,few_shot,4,1.0296045655704276,gcaizgqk,1.0076055372406565,0.5433825565632713
steps,2,in_context,0,1.1153623058434925,981frs8l,1.120917792303515,0.6185333442519311
steps,2,in_context,1,1.097993213950736,mwlr1p20,1.1111706550096414,0.6138168441807887
steps,2,in_context,2,1.101846997035132,bxps4ej7,1.119518690793902,0.6177676717427234
steps,2,in_context,3,1.1091388604016554,snkyvqgv,1.1033420553238606,0.6113004597491959
steps,2,in_context,4,1.1217114921734923,0pww0zqi,1.1222918549450231,0.6197061702541797
steps,2,few_shot,0,1.3157221892780306,a34pcfjl,1.312502743298139,0.7308527151285586
steps,2,few_shot,1,1.3004936018710982,s7azy3o5,1.2999610004148017,0.7266340509208855
steps,2,few_shot,2,1.337899106815885,3g2ki2x1,1.2959668798834345,0.7240308251286671
steps,2,few_shot,3,1.319866202972299,sc0xzpw2,1.3214340786973484,0.7389973152559021
steps,2,few_shot,4,1.3135527634538535,t5f5es9k,1.2945991520081834,0.72167245611732
