fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,1,in_context,0,1.3054804500268953,30wxtdz8,1.2849281388722953,0.7305190402194146
steps,1,in_context,1,1.2957165249935614,5uhdvwbi,1.2926099547447414,0.7359187345826022
steps,1,in_context,2,1.2802879755109629,unqha16u,1.2857310782741485,0.7326895518523098
steps,1,in_context,3,1.3053195009473555,24dptmk3,1.2958120892709868,0.7369677742055443
steps,1,in_context,4,1.2870825815031832,nuyo5xep,1.2824907866669817,0.7314749486792559
steps,1,few_shot,0,1.323379490434437,r8c1j6js,1.331573363002076,0.7582072358698819
steps,1,few_shot,1,1.3580364643453282,f7fade79,1.3025011017356627,0.7417997159536969
steps,1,few_shot,2,1.3175662411461662,8zfkv1c1,1.3197942981800177,0.7528050832198369
steps,1,few_shot,3,1.3708587514314905,72cvil7z,1.3025402733205569,0.7431715072338549
steps,1,few_shot,4,1.3212123156393931,ozn6ftho,1.3396809217790844,0.763066447265802
steps,2,in_context,0,1.4587787723513652,42t1r52j,1.4612752828024302,0.8299993146866452
steps,2,in_context,1,1.446368633508003,8ug2ya9v,1.4591269256921948,0.8298008458909526
steps,2,in_context,2,1.4520636792783506,ss4qm0um,1.4640778415735938,0.8311689131074907
steps,2,in_context,3,1.4627179626964024,awornnff,1.453695955672382,0.8274625052255856
steps,2,in_context,4,1.468159076585703,gtbk40cb,1.471401433048056,0.8357951610386365
steps,2,few_shot,0,1.4676778094483145,xicuk4fr,1.465701925777222,0.8332988117120088
steps,2,few_shot,1,1.4725063566492886,kcrr6xi9,1.4561747688291091,0.8284352254680131
steps,2,few_shot,2,1.506576098309964,cjj1dlef,1.4606605438227558,0.8300955493971016
steps,2,few_shot,3,1.488254367518265,s3enposb,1.5045403774410009,0.8569807379799117
steps,2,few_shot,4,1.4719062342791247,2osn1k57,1.4785701180033972,0.8390562887016011
