fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
steps,1,in_context,0,0.6294815764878688,63ktqzjk,0.6302360183352173,0.3547162543402777,206.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0
steps,1,in_context,1,0.6374074678008123,5u5wimyl,0.6340118748363037,0.3571599663628472,314.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,1,in_context,2,0.619393962040124,eln9atpa,0.6267671483297681,0.3520495266384548,186.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0
steps,1,in_context,3,0.6208152115798586,2qswrvzo,0.6304264903225576,0.355323011610243,215.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,1,in_context,4,0.6225073761199994,omatgy2h,0.619078422080734,0.3480776638454861,331.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,1,few_shot,0,0.7649533107369489,rm4lgemi,0.7686856149431612,0.4275480651855469,257.0,0.2,0.0008536189862866,5.0,0.2335963502626159,0.0,100.0,4.0,255.0,-1.0
steps,1,few_shot,1,0.7825723482506441,nqzxkjzw,0.7452727693405944,0.4176751403808594,159.0,0.0,1.5905817778820346e-05,20.0,0.0138796110793157,1.0,20.0,16.0,255.0,-1.0
steps,1,few_shot,2,0.7777823449332592,e455ihfq,0.7594083219057041,0.4234533996582031,177.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0
steps,1,few_shot,3,0.7762670090035988,tgq21bis,0.7704210790973436,0.4296742553710937,149.0,0.0,1.5905817778820346e-05,20.0,0.0138796110793157,1.0,20.0,16.0,255.0,-1.0
steps,1,few_shot,4,0.7718910723846506,atthdf51,0.7932588065515794,0.4388579711914062,106.0,0.2,0.0006756608892518,20.0,0.0718403263658167,0.0,10.0,16.0,255.0,-1.0
steps,2,in_context,0,0.9795184448277868,bss80sks,0.9772832640740572,0.5502705891927083,157.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,in_context,1,0.9575349016594362,kr8obkbz,0.9645817407898788,0.5435671657986111,240.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,in_context,2,0.9648822485490356,96j0ikoa,0.9794256565295456,0.5517556423611111,118.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,in_context,3,0.9679911367436828,kqq8dewx,0.9684144858929844,0.5462931654188368,94.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,in_context,4,0.969207934873036,678g8zjr,0.9791737975894962,0.5520341661241319,228.0,0.0,1.4730368526805258e-05,20.0,0.2585142302046639,1.0,10.0,8.0,255.0,-1.0
steps,2,few_shot,0,1.046339985025477,f0zlbyar,1.0494461681986391,0.5900827026367188,174.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0
steps,2,few_shot,1,1.0419255642351997,vo1o0lzi,1.0300622878195556,0.58133251953125,77.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,few_shot,2,1.0637520822847957,thczgxg7,1.0381351429179069,0.58455810546875,77.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,few_shot,3,1.0649145861534874,argux07q,1.0444826955866182,0.5904872436523437,93.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
steps,2,few_shot,4,1.04134397187194,rzhqjsmi,1.050663963318942,0.5947909545898438,80.0,0.0,4.589824181495648e-05,20.0,0.2878805718308923,1.0,1000.0,8.0,255.0,-1.0
