name,run_id,created_at,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_fixed_effect_residual_rmse,fixed_effect_type,feature_dimension,epochs_trained,model.params.dropout,model.train_params.learning_rate,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
npboost-in_context-steps_1D-seed0,00pc5f3t,2026-07-21T08:33:26Z,npboost,in_context,0,rmse,0.3593570624457465,0.6404017473911641,0.3621341620551215,0.6439836202765067,14410.942387104034,29.73947262763977,31.091766595840458,1.4788828736084516,steps,1,,,,178.0,0.0,3.7275559646016336e-05,20.0,0.0105756957788887,0.0,100.0,8.0,255.0,-1.0,,,,,
npboost-in_context-steps_1D-seed0,1i9c1t3y,2026-07-19T18:49:36Z,npboost,in_context,0,rmse,0.3743973795572917,0.6655419268829905,0.3786026340060764,0.6727037250462974,7589.933630466461,22.61409902572632,21.515206813812256,2.634775300834127,steps,1,,,,166.0,0.2,0.0001053621921034,10.0,0.2534741961949762,1.0,1000.0,16.0,255.0,-1.0,,,,,
npboost-in_context-steps_1D-seed0,3ja2nx95,2026-07-18T19:48:27Z,npboost,in_context,0,rmse,0.3573809136284722,0.6355072207816203,0.3606248643663194,0.6400442434199812,6889.763720273972,20.402507305145264,21.40747308731079,1.2549044637326767,steps,1,,,,168.0,0.0,1.1241862095793047e-05,20.0,0.0425316236379087,1.0,100.0,8.0,255.0,-1.0,,,,,
npboost-in_context-steps_1D-seed0,3y6gt9ie,2026-07-20T02:17:29Z,npboost,in_context,0,rmse,0.3667021348741319,0.6526146406267043,0.3687697347005208,0.6557291076170888,11248.170948505402,21.602742433547977,20.608611345291138,1.8073788647675475,steps,1,,,,267.0,0.2,0.0001077955162095,10.0,0.0754992854618303,0.0,10.0,16.0,255.0,-1.0,,,,,
npboost-in_context-steps_1D-seed0,5retribb,2026-07-18T17:30:08Z,npboost,in_context,0,rmse,0.4344325425889757,0.7718480705081229,0.435599365234375,0.7747361899851726,2807.963666200638,13.540006399154665,13.403825759887695,2.0356799097816145,steps,1,,,,54.0,0.2,1.913588048769229e-05,20.0,0.3503398491158687,0.0,10.0,8.0,255.0,-1.0,,,,,
npboost-in_context-steps_1D-seed0,63ktqzjk,2026-07-19T07:56:44Z,npboost,in_context,0,rmse,0.354262932671441,0.6294815764878688,0.3547162543402777,0.6302360183352173,11617.241561889648,21.372498989105225,21.13779377937317,1.3306399451656916,steps,1,,,,206.0,0.0,4.764963542138518e-05,20.0,0.5945287330479982,0.0,100.0,16.0,255.0,-1.0,,,,,
npboost-in_context-steps_1D-seed0,65g60j35,2026-07-20T13:35:43Z,npboost,in_context,0,rmse,0.3564393785264756,0.6337255329512204,0.3597238498263889,0.6388629028557716,15126.868282556534,25.50288414955139,25.947508811950684,1.411247572858497,steps,1,,,,240.0,0.0,1.5905817778820346e-05,20.0,0.0138796110793157,1.0,20.0,16.0,255.0,-1.0,,,,,
npboost-in_context-steps_1D-seed0,7vgme88k,2026-07-20T17:50:42Z,npboost,in_context,0,rmse,0.445625983344184,0.7903721855717176,0.4482132636176215,0.7955602157600599,3199.66045832634,25.38682174682617,26.088762283325195,2.829244109507363,steps,1,,,,23.0,0.2,3.6649592076212935e-05,20.0,0.9572167377160832,0.0,100.0,16.0,255.0,-1.0,,,,,
npboost-in_context-steps_1D-seed0,9pat23wv,2026-07-18T16:39:07Z,npboost,in_context,0,rmse,0.3633415730794271,0.6457061587992513,0.3648261176215278,0.6466935420263081,2961.2071211338043,13.682470083236694,14.53056287765503,1.445352775744562,steps,1,,,,84.0,0.0,0.0008692991511139,10.0,0.1569639638866114,0.0,1000.0,8.0,255.0,-1.0,,,,,
npboost-in_context-steps_1D-seed0,a6oeis0q,2026-07-19T20:58:33Z,npboost,in_context,0,rmse,0.3880513170030382,0.6887377046607426,0.3925154622395833,0.6979473088891299,18991.87788581848,22.461292266845703,20.670809984207157,1.3284126867876358,steps,1,,,,498.0,0.2,1.1508017135300922e-05,10.0,0.0179523383684912,1.0,20.0,16.0,255.0,-1.0,,,,,
