fixed_effect_type,feature_dimension,task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps
steps,1,in_context,0,0.8389676350363411,o0ix7eox,0.8264804625798975,0.4660761043386918
steps,1,in_context,1,0.8395025969509465,mnspnxs6,0.8347889876696142,0.4687982978714439
steps,1,in_context,2,0.8309426577113178,iope3x51,0.8408425086809095,0.4695094655823207
steps,1,in_context,3,0.8290112196813239,uka0ubw0,0.8328807601349045,0.4681411214632113
steps,1,in_context,4,0.8297419097679176,ahnx69rt,0.8308379218493451,0.466188447950016
steps,1,few_shot,0,1.1340903255730437,laba021e,1.1336679265316587,0.6418780583394125
steps,1,few_shot,1,1.13664359255266,9x2zmn7d,1.1091699225476217,0.6353431324781835
steps,1,few_shot,2,1.124692129841591,65xkg7mn,1.1284968666878823,0.6501343415517147
steps,1,few_shot,3,1.1597087096170695,gmwbm4sy,1.1082150262186263,0.6360067818789299
steps,1,few_shot,4,1.1355367563598866,bjnylwd9,1.1250139177606928,0.6375076693617384
steps,2,in_context,0,1.3371199556596354,wezx5xtt,1.3407556128622782,0.7645551342566682
steps,2,in_context,1,1.317868609890774,pwnxf2mb,1.3294994300132856,0.7607741891363332
steps,2,in_context,2,1.3267669143723198,h96pz9h8,1.3440437359608717,0.7663362603694099
steps,2,in_context,3,1.3332688996812398,81srnujd,1.3300347616884796,0.7622010609703586
steps,2,in_context,4,1.3285592599022078,k68wt4x2,1.3393611824778615,0.7656144282026262
steps,2,few_shot,0,1.522458249328407,v3d3j1am,1.5195048724904894,0.8992811251311866
steps,2,few_shot,1,1.509639478017822,ihxlyeoc,1.4762565246874717,0.8779875449418999
steps,2,few_shot,2,1.5740638148808654,b83zjab9,1.5125337690172855,0.898203857159409
steps,2,few_shot,3,1.5246221052273936,bltuv38n,1.5365853423677849,0.9173122858524476
steps,2,few_shot,4,1.5075312366648106,qxckrjy5,1.5110352776196343,0.8925554301416256
