task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
in_context,0,0.0884505485194095,cuf3p7y2,0.0918097287098813,0.1656858441022542,219.0,0.2,1.5820851730418417e-05,5.0,0.0450196136386975,1.0,100.0,16.0,255.0,-1.0
in_context,1,0.0899750489221243,i0r7hb6g,0.0932116329734654,0.1998981716775122,45.0,0.0,1.8406671834517417e-05,10.0,0.3476654204795515,0.0,20.0,8.0,255.0,-1.0
in_context,2,0.0918796542311418,yvxopxtu,0.0896347000270429,0.1354414251883869,187.0,0.2,2.9067203620664195e-05,5.0,0.1823458458254781,0.0,10.0,8.0,255.0,-1.0
in_context,3,0.0923823192775076,37uckxaj,0.0905392840693687,0.1448537770158009,164.0,0.2,2.9067203620664195e-05,5.0,0.1823458458254781,0.0,10.0,8.0,255.0,-1.0
in_context,4,0.0915930809365191,4lidqygr,0.0907676536672998,0.1850733573517849,11.0,0.0,0.0001083323625032,10.0,0.1351582698334605,0.0,100.0,8.0,255.0,-1.0
few_shot,0,0.0969082758646582,fmm3dsc9,0.1096840914796903,0.217164360330099,35.0,0.0,1.2904721633073898e-05,20.0,0.2325748079967941,0.0,100.0,8.0,255.0,-1.0
few_shot,1,0.0964349935378505,3hovyw7s,0.0910999374277657,0.2030628652650447,94.0,0.0,3.1392574253118284e-05,5.0,0.1121865737283773,0.0,10.0,4.0,255.0,-1.0
few_shot,2,0.105438629782026,z7yflho2,0.0860691310283424,0.2060336951421727,39.0,0.0,1.702035422361917e-05,20.0,0.0657821692431908,1.0,20.0,16.0,255.0,-1.0
few_shot,3,0.1009852477741795,ae46b2te,0.1058370156858873,0.2064231383396767,43.0,0.0,1.5865500409725956e-05,20.0,0.019901994840577,0.0,100.0,4.0,255.0,-1.0
few_shot,4,0.1024991961698339,jjid8arj,0.1060634744896396,0.2137453810859272,41.0,0.0,1.2904721633073898e-05,20.0,0.2325748079967941,0.0,100.0,8.0,255.0,-1.0
