model_name,task_name,test_rmse_mean,test_rmse_std,test_rmse_n,test_crps_mean,test_crps_std,test_crps_n,test_rmse_se,test_crps_se
npboost,in_context,0.09065361660475542,0.0016138812106844657,5,0.13929093038311097,0.052656962763174615,5,0.000721749618940025,0.02354890964542672
npboost,few_shot,0.09792741217527053,0.009541285279899291,5,0.2031953423170542,0.007581834799114335,5,0.004266992495714585,0.003390699600998623
anpboost,in_context,0.09119259988941161,0.001368557215567913,5,0.16619051506714783,0.0268969582794014,5,0.0006120373930215374,0.012028685420143462
anpboost,few_shot,0.09975073002226506,0.01045929788844587,5,0.20928588803258408,0.005904564141440134,5,0.004677540215096995,0.0026406013595535642
np,in_context,0.09223806499096976,0.0015928296537403395,5,0.12419316093149087,0.03847868341437505,5,0.0007123350764681702,0.01720819035984726
np,few_shot,0.09983923411543276,0.009697426419370875,5,0.16298782422176827,0.01910764800195579,5,0.0043368209361031316,0.008545199964502237
anp,in_context,0.09275205753732756,0.001583573414997143,5,0.12951733935697077,0.05404235255845167,5,0.0007081955606590193,0.024168474796941522
anp,few_shot,0.10116998666315238,0.009868935035555346,5,0.17376617639405637,0.04231243844420165,5,0.0044135219210062115,0.018922697731002063
gbm_group_cat,in_context,0.09283427166845118,0.0017100356824360412,5,,,0,0.0007647512059754463,
gbm_group_cat,few_shot,0.12402899884060496,0.00930150919491155,5,,,0,0.004159761370632313,
gbm_no_group,in_context,0.09698942992713155,0.000868603365832807,5,,,0,0.0003884512342974549,
gbm_no_group,few_shot,0.10150315196688753,0.00746816586786754,5,,,0,0.0033398653095591062,
gplinear,in_context,0.10121690250131588,0.0011872799301602802,5,,,0,0.0005309677264319179,
gplinear,few_shot,0.11020152441803269,0.008849960447798209,5,0.05897337914142824,0.0049746914651149395,5,0.003957822631892254,0.0022247496566170054
lme,in_context,0.10206119093451785,0.0022820547186908203,5,0.05718798175107942,0.0010205393417722635,5,0.0010205658958733668,0.00045639906838313435
lme,few_shot,0.10568654995929025,0.007769571197856941,5,0.059322663377645336,0.0038548688176764123,5,0.0034746578708865178,0.00172394974413374
tabicl_taskwise,in_context,0.11190710847035967,0.0014523170731513245,5,0.059237010499298935,0.000545864055643776,5,0.0006494959400899792,0.00024411782697864216
tabicl_taskwise,few_shot,0.12264295393769117,0.008391978252987287,5,0.06731657480190209,0.004554060131504306,5,0.0037530067678759,0.002036637605533052
tabicl_pooled,in_context,0.08743691647434336,0.0012783194697065627,5,0.0446849991044531,0.000603776449067286,5,0.0005716818462450714,0.0002700170366655782
tabicl_pooled,few_shot,0.0908856872497964,0.007160657369088133,5,0.048038104092783376,0.004040250392138048,5,0.0032023433281731734,0.0018068549045881714
