task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
in_context,0,0.0886996695270846,9y71ux91,0.0920021245716534,,297.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,1,0.0907753346736411,3yxzeu9x,0.0955442039418628,,180.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,2,0.0947779025839563,xzjma1sf,0.0919023146564517,,137.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,3,0.0946087609454078,du58fcil,0.0934441426739909,,62.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,4,0.094904873729325,454b7tde,0.0912785724982971,,119.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
few_shot,0,0.1191776760618432,zep67s85,0.1373588716380926,,374.0,0.2482318741925865,1.0,20.0,4.0,500.0,-1.0
few_shot,1,0.120978738617061,wgrmfr9h,0.120742979360432,,279.0,0.0814494767975024,0.0,1000.0,8.0,255.0,-1.0
few_shot,2,0.1224061206480473,7f4w31po,0.1118097387406025,,488.0,0.1271700786387963,1.0,10.0,2.0,500.0,-1.0
few_shot,3,0.1301345808995341,xv0ejg0z,0.1233973497863716,,206.0,0.2090966500355389,1.0,1000.0,64.0,1000.0,-1.0
few_shot,4,0.1303288376951822,tki26mre,0.1268360546775261,,426.0,0.2482318741925865,1.0,20.0,4.0,500.0,-1.0
