task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.train_params.learning_rate,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
in_context,0,0.093797091033204,y4oqu8wj,0.0968744704411077,,148.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,1,0.0964612256952373,swhc33mx,0.0981631424586267,,173.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,2,0.0971694353616021,tdg01fk1,0.0961629305843981,,134.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,3,0.0976946386724514,5bmd6aaj,0.0975504287597284,,117.0,0.1183473185096848,1.0,20.0,32.0,255.0,-1.0
in_context,4,0.0971038177593898,ltfwajai,0.0961961773917969,,500.0,0.0432480329052877,0.0,10.0,8.0,255.0,-1.0
few_shot,0,0.1005706841742,yazgm4cp,0.1098697115142772,,371.0,0.0432480329052877,0.0,10.0,8.0,255.0,-1.0
few_shot,1,0.1012539580463166,djb7tnez,0.0956879863597261,,114.0,0.2482318741925865,1.0,20.0,4.0,500.0,-1.0
few_shot,2,0.1093744164755073,ck33giol,0.0923885768252534,,388.0,0.0109758154193801,0.0,20.0,32.0,1000.0,-1.0
few_shot,3,0.1074521464283036,cadtkv1g,0.1020768483426014,,103.0,0.2482318741925865,1.0,20.0,4.0,500.0,-1.0
few_shot,4,0.1048208333401483,yci5p25o,0.1074926367925795,,488.0,0.0432480329052877,0.0,10.0,8.0,255.0,-1.0
