task_name,data_split_seed,best_validation_score,run_id,test_rmse,test_crps,best_boosting_round,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth
in_context,0,0.0873127828887864,mt5iodxg,0.0915459205610178,0.0814981114179544,52.0,0.2,0.0001082971516786,10.0,0.2589103504433043,0.0,20.0,16.0,255.0,-1.0
in_context,1,0.0890496479157332,j9qzmogb,0.0928751300745522,0.1960834019422132,27.0,0.0,1.702035422361917e-05,20.0,0.0657821692431908,1.0,20.0,16.0,255.0,-1.0
in_context,2,0.0918877712595606,mg3d21uk,0.0887376307665097,0.096040053801103,78.0,0.2,0.0001181285816262,5.0,0.0610030224551816,0.0,10.0,8.0,255.0,-1.0
in_context,3,0.0920063598121808,3w826004,0.0896682297167088,0.190363946601923,31.0,0.0,1.702035422361917e-05,20.0,0.0657821692431908,1.0,20.0,16.0,255.0,-1.0
in_context,4,0.0914490268447381,ij05hdh9,0.0904411719049886,0.1324691381523613,195.0,0.2,2.9067203620664195e-05,5.0,0.1823458458254781,0.0,10.0,8.0,255.0,-1.0
few_shot,0,0.0957014460766899,pmno1fsi,0.1084097619753157,0.2000873233391184,105.0,0.0,3.1392574253118284e-05,5.0,0.1121865737283773,0.0,10.0,4.0,255.0,-1.0
few_shot,1,0.097676692701284,q7gmrj6b,0.0893118791883401,0.2029159053930453,94.0,0.0,3.1392574253118284e-05,5.0,0.1121865737283773,0.0,10.0,4.0,255.0,-1.0
few_shot,2,0.1054787143734917,r07e1yhf,0.0868207623478193,0.2062264242993507,84.0,0.0,3.1392574253118284e-05,5.0,0.1121865737283773,0.0,10.0,4.0,255.0,-1.0
few_shot,3,0.101231578549769,p5npq6vh,0.0999022856077172,0.1931034745167071,124.0,0.0,3.1392574253118284e-05,5.0,0.1121865737283773,0.0,10.0,4.0,255.0,-1.0
few_shot,4,0.1010753484770594,yjosv8ip,0.1051923717571603,0.2136435840370495,41.0,0.0,1.2904721633073898e-05,20.0,0.2325748079967941,0.0,100.0,8.0,255.0,-1.0
